Fund name, Isin, Nav status, Fund status

JPM Asia Pacific Income Fund,LU0210527791,success,success
JPM Asia Pacific Income Fund,LU0210527791,success,success
JPM Global Income Fund,LU0762807625,success,success
JPM US Multi-Asset High Income Fund,LU2925042926,success,success
JPM ASEAN Equity Fund,LU0441851309,success,success
JPM Asia Equity Dividend Fund,HK0000151891,success,success
JPM Asia Equity High Income Fund,HK0000055613,success,success
JPM Asia Growth Fund,LU0169518387,success,success
JPM China A-Share Opportunities Fund,LU1255011170,success,success
JPM China Fund,LU0210526637,success,success
JPM Greater China Fund,LU0210526801,success,success
JPM Europe Dynamic Fund,LU0955580203,success,success
JPM Global Dividend Fund,LU0329201957,success,success
JPM Global Equity High Income Fund,HK0001099735,success,success
JPM Global Equity Premium Income ETF,IE0003UVYC20,success,success
JPM Global Healthcare Fund,LU0432979614,success,success
JPM Global Research Enhanced Index Equity ETF,IE00BF4G6Y48,success,success
JPM Global Research Enhanced Index Equity Fund,LU2402382688,success,success
JPM Global Select Equity ETF,46654Q740,success,success
JPM Global Select Equity Fund,LU0070217475,success,success
JPM Global Sustainable Equity Fund,LU0210534813,success,success
JPM Japan Equity Fund,LU0927678507,success,success
JPM Japan Research Enhanced Index Equity ETF,IE00BP2NF958,success,success
JPM Healthcare Leaders ETF,46654Q765,success,success
JPM Pacific Technology Fund,HK0000055761,success,success
JPM US Tech Leaders ETF,46654Q732,success,success
JPM US Technology Fund,LU0210536867,success,success
JPM Active Growth ETF,46654Q609,success,success
JPM America Equity Fund,LU0210528500,success,success
JPM Equity Focus ETF,46654Q781,success,success
JPM Equity Premium ETF,46641Q332,success,success
JPM Nasdaq Equity Premium Income ETF,46654Q203,success,success
JPM US Growth Fund,LU0210536198,success,success
JPM US Research Enhanced Index Equity ETF,IE00BF4G7076,success,success
JPM US Select Equity Plus,LU0292454872,success,success
JPM Asian Total Return Bond Fund,HK0000055597,success,success
JPM Global Aggregate Bond Active ETF,IE000LHP8TA1,success,success
JPM Global Aggregate Bond Fund,LU0210533179,success,success
JPM Global High Yield Bond Fund,LU0344579056,success,success
JPM USD High Yield Bond Active ETF,46654Q633,success,success
JPM USD Ultra-Short Income ETF,46641Q837,success,success
JPM Global Bond Opportunities Fund,LU0867954264,success,success
JPM Income ETF,46641Q159,success,success
JPM Income Fund,LU1041599405,success,success
JPM Active Bond ETF,46654Q716,success,success
JPM Core Plus Bond ETF,46641Q670,success,success
JPM Global Corporate Bond Fund,LU0408846375,success,success
JPM US Aggregate Bond Fund,LU0210532957,success,success
JPM Global Natural Resources Fund, LU0266512127,fail,fail
JPM India Fund,LU0210527015,success,success
JPM Climate Change Solutions Active UCITS ETF, IE000O8S1EX4,fail,fail
JPMorgan Inflation Managed Bond ETF, 46654Q104,fail,fail
JPMorgan Realty Income ETF, 46641Q126,fail,fail
JPM Asia Pacific Income Fund,LU0210527791,success,success
JPM Global Income Fund,LU0762807625,success,success
JPM US Multi-Asset High Income Fund,LU2925042926,success,success
JPM ASEAN Equity Fund,LU0441851309,success,success
JPM Asia Equity Dividend Fund,HK0000151891,success,success
JPM Asia Equity High Income Fund,HK0000055613,success,success
JPM Asia Growth Fund,LU0169518387,success,success
JPM China A-Share Opportunities Fund,LU1255011170,success,success
JPM China Fund,LU0210526637,success,success
JPM Greater China Fund,LU0210526801,success,success
JPM Europe Dynamic Fund,LU0955580203,success,success
JPM Global Dividend Fund,LU0329201957,success,success
JPM Global Equity High Income Fund,HK0001099735,success,success
JPM Global Equity Premium Income ETF,IE0003UVYC20,success,success
JPM Global Healthcare Fund,LU0432979614,success,success
JPM Global Research Enhanced Index Equity ETF,IE00BF4G6Y48,success,success
JPM Global Research Enhanced Index Equity Fund,LU2402382688,success,success
JPM Global Select Equity ETF,46654Q740,success,success
JPM Global Select Equity Fund,LU0070217475,success,success
JPM Global Sustainable Equity Fund,LU0210534813,success,success
JPM Japan Equity Fund,LU0927678507,success,success
JPM Japan Research Enhanced Index Equity ETF,IE00BP2NF958,success,success
JPM Healthcare Leaders ETF,46654Q765,success,success
JPM Pacific Technology Fund,HK0000055761,success,success
JPM US Tech Leaders ETF,46654Q732,success,success
JPM US Technology Fund,LU0210536867,success,success
JPM Active Growth ETF,46654Q609,success,success
JPM America Equity Fund,LU0210528500,success,success
JPM Equity Focus ETF,46654Q781,success,success
JPM Equity Premium ETF,46641Q332,success,success
JPM Nasdaq Equity Premium Income ETF,46654Q203,success,success
JPM US Growth Fund,LU0210536198,success,success
JPM US Research Enhanced Index Equity ETF,IE00BF4G7076,success,success
JPM US Select Equity Plus,LU0292454872,success,success
JPM Asian Total Return Bond Fund,HK0000055597,success,success
JPM Global Aggregate Bond Active ETF,IE000LHP8TA1,success,success
JPM Global Aggregate Bond Fund,LU0210533179,success,success
JPM Global High Yield Bond Fund,LU0344579056,success,success
JPM USD High Yield Bond Active ETF,46654Q633,success,success
JPM USD Ultra-Short Income ETF,46641Q837,success,success
JPM Global Bond Opportunities Fund,LU0867954264,success,success
JPM Income ETF,46641Q159,success,success
JPM Income Fund,LU1041599405,success,success
JPM Active Bond ETF,46654Q716,success,success
JPM Core Plus Bond ETF,46641Q670,success,success
JPM Global Corporate Bond Fund,LU0408846375,success,success
JPM US Aggregate Bond Fund,LU0210532957,success,success
 JPM Global Natural Resources Fund, LU0266512127,fail,fail
 JPM India Fund,LU0210527015,success,success
 JPM Climate Change Solutions Active UCITS ETF, IE000O8S1EX4,fail,fail
 JPMorgan Inflation Managed Bond ETF, 46654Q104,fail,fail
 JPMorgan Realty Income ETF, 46641Q126,fail,fail
 JPM Global Natural Resources Fund, LU0266512127,fail,fail
 JPM India Fund,LU0210527015,success,success
 JPM Climate Change Solutions Active UCITS ETF, IE000O8S1EX4,fail,fail
 JPMorgan Inflation Managed Bond ETF, 46654Q104,fail,fail
 JPMorgan Realty Income ETF, 46641Q126,fail,fail
 JPM Global Natural Resources Fund,LU0266512127,success,success
 JPM India Fund,LU0210527015,success,success
 JPM Climate Change Solutions Active UCITS ETF,IE000O8S1EX4,success,success
 JPMorgan Inflation Managed Bond ETF,46654Q104,success,success
 JPMorgan Realty Income ETF,46641Q126,success,success
JPM Asia Pacific Income Fund,LU0210527791,success,success
JPM Global Income Fund,LU0762807625,success,success
JPM US Multi-Asset High Income Fund,LU2925042926,success,success
JPM ASEAN Equity Fund,LU0441851309,success,success
JPM Asia Equity Dividend Fund,HK0000151891,success,success
JPM Asia Equity High Income Fund,HK0000055613,success,success
JPM Asia Growth Fund,LU0169518387,success,success
JPM China A-Share Opportunities Fund,LU1255011170,success,success
JPM China Fund,LU0210526637,success,success
JPM Greater China Fund,LU0210526801,success,success
JPM Europe Dynamic Fund,LU0955580203,success,success
JPM Global Dividend Fund,LU0329201957,success,success
JPM Global Equity High Income Fund,HK0001099735,success,success
JPM Global Equity Premium Income ETF,IE0003UVYC20,success,success
JPM Global Healthcare Fund,LU0432979614,success,success
JPM Global Research Enhanced Index Equity ETF,IE00BF4G6Y48,success,success
JPM Global Research Enhanced Index Equity Fund,LU2402382688,success,success
JPM Global Select Equity ETF,46654Q740,success,success
JPM Global Select Equity Fund,LU0070217475,success,success
JPM Global Sustainable Equity Fund,LU0210534813,success,success
JPM Japan Equity Fund,LU0927678507,success,success
JPM Japan Research Enhanced Index Equity ETF,IE00BP2NF958,success,success
JPM Healthcare Leaders ETF,46654Q765,success,success
JPM Pacific Technology Fund,HK0000055761,success,success
JPM US Tech Leaders ETF,46654Q732,success,success
JPM US Technology Fund,LU0210536867,success,success
JPM Active Growth ETF,46654Q609,success,success
JPM America Equity Fund,LU0210528500,success,success
JPM Equity Focus ETF,46654Q781,success,success
JPM Equity Premium ETF,46641Q332,success,success
JPM Nasdaq Equity Premium Income ETF,46654Q203,success,success
JPM US Growth Fund,LU0210536198,success,success
JPM US Research Enhanced Index Equity ETF,IE00BF4G7076,success,success
JPM US Select Equity Plus,LU0292454872,success,success
JPM Asian Total Return Bond Fund,HK0000055597,success,success
JPM Global Aggregate Bond Active ETF,IE000LHP8TA1,success,success
JPM Global Aggregate Bond Fund,LU0210533179,success,success
JPM Global High Yield Bond Fund,LU0344579056,success,success
JPM USD High Yield Bond Active ETF,46654Q633,success,success
JPM USD Ultra-Short Income ETF,46641Q837,success,success
JPM Global Bond Opportunities Fund,LU0867954264,success,success
JPM Income ETF,46641Q159,success,success
JPM Income Fund,LU1041599405,success,success
JPM Active Bond ETF,46654Q716,success,success
JPM Core Plus Bond ETF,46641Q670,success,success
JPM Global Corporate Bond Fund,LU0408846375,success,success
JPM US Aggregate Bond Fund,LU0210532957,success,success
 JPM Global Natural Resources Fund,LU0266512127,success,success
 JPM India Fund,LU0210527015,success,success
 JPM Climate Change Solutions Active UCITS ETF,IE000O8S1EX4,success,success
 JPMorgan Inflation Managed Bond ETF,46654Q104,success,success
 JPMorgan Realty Income ETF,46641Q126,success,success
JPM Asia Pacific Income Fund,LU0210527791,success,success
JPM Global Income Fund,LU0762807625,success,success
JPM US Multi-Asset High Income Fund,LU2925042926,success,success
JPM ASEAN Equity Fund,LU0441851309,success,success
JPM Asia Equity Dividend Fund,HK0000151891,success,success
JPM Asia Equity High Income Fund,HK0000055613,success,success
JPM Asia Growth Fund,LU0169518387,success,success
JPM China A-Share Opportunities Fund,LU1255011170,success,success
JPM China Fund,LU0210526637,success,success
JPM Greater China Fund,LU0210526801,success,success
JPM Europe Dynamic Fund,LU0955580203,success,success
JPM Global Dividend Fund,LU0329201957,success,success
JPM Global Equity High Income Fund,HK0001099735,success,success
JPM Global Equity Premium Income ETF,IE0003UVYC20,success,success
JPM Global Healthcare Fund,LU0432979614,success,success
JPM Global Research Enhanced Index Equity ETF,IE00BF4G6Y48,success,success
JPM Global Research Enhanced Index Equity Fund,LU2402382688,success,success
JPM Global Select Equity ETF,46654Q740,success,success
JPM Global Select Equity Fund,LU0070217475,success,success
JPM Global Sustainable Equity Fund,LU0210534813,success,success
JPM Japan Equity Fund,LU0927678507,success,success
JPM Japan Research Enhanced Index Equity ETF,IE00BP2NF958,success,success
JPM Healthcare Leaders ETF,46654Q765,success,success
JPM Pacific Technology Fund,HK0000055761,success,success
JPM US Tech Leaders ETF,46654Q732,success,success
JPM US Technology Fund,LU0210536867,success,success
JPM Active Growth ETF,46654Q609,success,success
JPM America Equity Fund,LU0210528500,success,success
JPM Equity Focus ETF,46654Q781,success,success
JPM Equity Premium ETF,46641Q332,success,success
JPM Nasdaq Equity Premium Income ETF,46654Q203,success,success
JPM US Growth Fund,LU0210536198,success,success
JPM US Research Enhanced Index Equity ETF,IE00BF4G7076,success,success
JPM US Select Equity Plus,LU0292454872,success,success
JPM Asian Total Return Bond Fund,HK0000055597,success,success
JPM Global Aggregate Bond Active ETF,IE000LHP8TA1,success,success
JPM Global Aggregate Bond Fund,LU0210533179,success,success
JPM Global High Yield Bond Fund,LU0344579056,success,success
JPM USD High Yield Bond Active ETF,46654Q633,success,success
JPM USD Ultra-Short Income ETF,46641Q837,success,success
JPM Global Bond Opportunities Fund,LU0867954264,success,success
JPM Income ETF,46641Q159,success,success
JPM Income Fund,LU1041599405,success,success
JPM Active Bond ETF,46654Q716,success,success
JPM Core Plus Bond ETF,46641Q670,success,success
JPM Global Corporate Bond Fund,LU0408846375,success,success
JPM US Aggregate Bond Fund,LU0210532957,success,success
JPM Global Natural Resources Fund,LU0266512127,success,success
JPM India Fund,LU0210527015,success,success
JPM Climate Change Solutions Active UCITS ETF,IE000O8S1EX4,success,success
JPMorgan Inflation Managed Bond ETF,46654Q104,success,success
JPMorgan Realty Income ETF,46641Q126,success,success
JPM Asia Pacific Income Fund,LU0210527791,success,success
